1;Villa Sole;A beautiful villa;Rome;Via Roma 1;100.00;4;2;1;mariorossi
2;Casa Luna;Modern apartment;Rome;Via Milano 22;80.00;2;1;1;mariorossi
3;Trullo Verde;Traditional house;Alberobello;Contrada Tullli;90.00;3;2;1;mariorossi
4;B&B Roma Centro;Cozy B&B;Rome;Piazza Venezia 3;120.00;2;1;1;mariorossi
5;Loft Gianicolo;Loft with view;Rome;Via Garibaldi 18;80.00;4;2;2;mariorossi
6;Attico Milano;Luxury Penthouse;Milan;Via Montenapoleone 10;400.00;6;3;3;annaverdi
7;Suite Navigli;Charming suite;Milan;Via Alzaia 7;150.00;2;1;1;annaverdi
8;Casa Fiera;House near fairgrounds;Milan;Viale Certosa 99;110.00;3;2;2;annaverdi
9;B&B Centrale;Central location;Milan;Via Torino 20;90.00;2;1;1;annaverdi
10;Monolocale Cool;Modern Studio;Milan;Via Brera 12;95.00;2;1;1;annaverdi
11;Casa Trastevere;Charming flat in the heart of Rome;Rome;Via della Scala 4;85.00;2;1;1;mariorossi
12;Villa Aurelia;Spacious villa with garden;Rome;Via Aurelia Antica 50;130.00;5;3;2;mariorossi
13;Appartamento Colosseo;Apartment near Colosseum;Rome;Via Labicana 25;100.00;3;2;1;mariorossi
14;Casa Fontana;Elegant apartment near Trevi Fountain;Rome;Via del Lavatore 12;105.00;2;1;1;mariorossi
15;Mini Loft Roma;Compact loft for two;Rome;Via dei Serpenti 22;75.00;2;1;1;mariorossi
16;Design Loft;Stylish loft with open space;Milan;Via Tortona 15;140.00;3;1;1;annaverdi
17;Milano Skyline;Modern flat with city view;Milan;Via Vittor Pisani 8;160.00;4;2;2;annaverdi
18;Studio Isola;Cozy studio in trendy area;Milan;Via Borsieri 11;85.00;2;1;1;annaverdi
19;Attico Centrale;Penthouse in central Milan;Milan;Corso Buenos Aires 101;200.00;4;2;2;annaverdi
20;Casa Navigli;Quiet home near canals;Milan;Ripa di Porta Ticinese 45;110.00;3;1;1;annaverdi